customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0017-HIAJE,Female,0,No,Yes,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,53.33,259.78,No
0018-EBJDI,Female,1,Yes,No,25,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),93.51,2321.24,Yes
0019-EICFJ,Male,0,No,No,13,Yes,Yes,No,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,52.16,726.84,No
0020-AIBJA,Female,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,46.53,351.8,No
0021-GBFJF,Male,0,Yes,No,23,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.98,2235.72,No
0022-JDEEF,Female,0,Yes,Yes,38,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,106.98,4055.46,Yes
0023-GCDBB,Female,1,Yes,No,48,Yes,No,No,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),91.87,4445.86,Yes
0024-BABHC,Female,0,No,No,62,Yes,No,No,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,63.68,3914.82,No
0025-CGHAF,Female,0,No,No,25,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),39.67,988.17,Yes
0026-DDJBD,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),119.47,1102.56,No
0027-AFEDH,Female,0,No,Yes,57,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),52.49,2950.52,No
0028-ABAHA,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,62.13,839.43,No
0029-GFJJE,Female,0,No,Yes,72,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,71.26,5091.79,No
0030-BABCE,Male,0,Yes,Yes,70,No,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),75.59,5287.64,No
0031-BGDBA,Male,0,Yes,No,38,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),20.07,808.36,No
0032-EDJGB,Female,0,Yes,Yes,30,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,109.52,3286.51,No
0033-AIBGI,Female,0,No,No,49,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,107.79,5321.8,No
0034-HDHBD,Female,0,Yes,Yes,15,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,30.72,502.63,No
0035-FFJBB,Male,0,No,Yes,71,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),104.6,7419.53,No
0036-FFIEI,Female,1,Yes,No,50,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),34.0,1743.42,No
0037-IDJHJ,Male,0,No,Yes,14,Yes,Yes,No,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,42.77,557.75,No
0038-IICAF,Male,1,Yes,Yes,37,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),70.95,2609.8,No
0039-FJDIG,Male,0,Yes,No,70,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),117.63,8272.55,Yes
0040-CBJGB,Male,0,No,Yes,71,Yes,Yes,No,No,Yes,No,No,No,No,Two year,Yes,Mailed check,67.11,4767.95,No
0041-ADBJJ,Male,0,Yes,Yes,20,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,57.28,1167.21,No
0042-CFFIG,Female,0,No,No,15,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),70.89,1017.62,No
0043-DDJDG,Female,0,Yes,Yes,66,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,41.76,2772.68,Yes
0044-EIIFG,Female,0,Yes,No,64,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.05,7270.19,No
0045-JBIJH,Female,0,No,Yes,12,Yes,No,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),113.39,1378.65,No
0046-EHDGG,Female,1,No,Yes,63,Yes,No,No,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,86.97,5524.42,No
0047-EBIHD,Male,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),33.78,2046.23,No
0048-FCDCI,Female,0,No,No,31,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,67.53,2075.02,Yes
0049-JHDAG,Female,0,No,Yes,11,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,No,Electronic check,56.97,602.1,No
0050-DDCGB,Male,0,No,No,40,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),119.58,4796.14,Yes
0051-CGACJ,Female,0,Yes,Yes,65,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),23.31,1474.74,No
0052-JBDFD,Male,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),44.35,298.94,No
0053-CBDBF,Female,1,No,No,58,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),68.15,3946.22,No
0054-JEDCC,Male,0,No,Yes,24,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),102.16,2462.02,No
0055-BGIAI,Female,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,92.36,342.73,Yes
0056-HJAAF,Female,0,Yes,Yes,44,No,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),115.53,5126.08,No
0057-GIJFE,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,39.48,83.69,No
0058-BGADE,Male,0,No,No,41,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,28.5,1178.25,No
0059-FAIID,Male,0,Yes,No,37,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,78.18,2909.87,No
0060-AHHGJ,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,62.12,104.96,No
0061-CBGJG,Male,0,Yes,No,45,Yes,Yes,No,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,51.84,2308.46,No
0062-EIGHF,Male,0,No,No,21,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),97.08,2015.64,No
0063-AIGJH,Male,0,Yes,No,32,No,No,DSL,No,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),73.98,2357.99,No
0064-BGJCC,Male,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),50.81,1618.02,No
0065-DJIIE,Female,0,No,No,16,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),72.85,1146.46,Yes
0066-JJCFE,Female,0,No,No,55,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),113.12,6200.43,No
0067-FDGAH,Male,1,Yes,No,2,Yes,Yes,No,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,44.72,72.03,No
0068-EIJCF,Female,1,Yes,No,69,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),64.1,4396.36,No
0069-CGAFD,Female,0,No,No,48,Yes,No,No,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),47.35,2295.59,No
0070-BFADA,Female,0,No,Yes,54,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,76.7,4132.13,No
0071-HCBHF,Female,0,No,No,30,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),110.0,3296.8,No
0072-GHEAH,Male,0,No,No,20,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.56,1712.73,Yes
0073-EFBFF,Female,1,No,No,15,No,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,37.83,582.49,No
0074-IGHCD,Male,0,No,Yes,16,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),31.18,489.33,No
0075-JHJJC,Female,1,Yes,No,0,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,21.58,0.0,Yes
0076-HCHBA,Female,1,Yes,No,71,Yes,No,No,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),103.75,7405.51,Yes
0077-CHFDB,Female,0,No,No,64,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,66.1,4191.84,No
0078-CEEAG,Male,0,Yes,No,65,No,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),61.12,4007.06,Yes
0079-CGIEE,Female,0,No,No,36,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,44.94,1642.72,Yes
0080-AJGBJ,Male,1,Yes,No,23,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,61.87,1456.43,No
0081-JBAHC,Female,0,No,Yes,61,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,53.95,3330.36,No
0082-CBGID,Male,1,Yes,Yes,20,No,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,93.86,1831.83,No
0083-DFDGF,Female,0,Yes,Yes,36,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),90.11,3237.74,No
0084-IEDCJ,Male,0,No,Yes,34,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Electronic check,63.49,2114.44,No
0085-HHJCJ,Male,1,Yes,No,37,Yes,No,No,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,84.68,3114.88,Yes
0086-FAIGD,Female,0,Yes,No,52,Yes,Yes,No,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),78.11,4025.8,No
0087-BCGAD,Male,0,Yes,No,14,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,83.39,1175.31,No
0088-GIDGD,Female,0,No,No,41,Yes,Yes,No,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),95.46,3925.45,No
0089-BBGDF,Female,0,No,No,3,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),27.38,89.0,No
0090-FBIJD,Female,0,No,No,38,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,102.85,3880.65,Yes
0091-AHDHA,Female,0,Yes,No,22,No,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,46.83,1004.76,Yes
0092-HFJCC,Female,1,No,Yes,14,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),56.93,777.81,No
0093-GHIBI,Female,1,Yes,No,11,Yes,No,No,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,46.21,473.88,No
0094-HJFEB,Female,0,No,Yes,69,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,102.34,7054.71,No
0095-EDFAI,Female,0,No,No,53,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),106.72,5676.6,No
0096-ABFBD,Female,0,No,No,37,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,32.33,1226.57,Yes
0097-IJFHB,Female,0,No,No,27,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,71.25,1876.06,No
0098-HFAHD,Female,1,No,Yes,18,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,56.94,979.45,No
0099-HEBGB,Male,0,No,No,68,No,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,36.56,2498.48,Yes
0100-FFFIJ,Male,0,Yes,No,63,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.78,4706.91,No
0101-EGGCB,Female,0,No,Yes,3,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Electronic check,55.29,150.27,No
0102-GEEBH,Female,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),90.99,846.92,No
0103-DFJBC,Female,0,Yes,No,11,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,103.3,1135.43,No
0104-JFHFI,Female,0,Yes,Yes,68,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),19.38,1326.67,No
0105-EHGIE,Female,0,Yes,No,6,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),73.86,426.78,Yes
0106-CCHDJ,Female,0,Yes,No,43,No,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,77.25,3301.47,No
0107-CBFIJ,Female,0,No,No,22,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),50.45,1154.77,No
0108-AHDDH,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,99.88,119.76,No
0109-IDFEG,Male,0,Yes,No,36,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),110.78,3971.12,Yes
0110-BADID,Female,0,No,No,68,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,95.95,6574.5,Yes
0111-JGBHD,Male,0,Yes,Yes,19,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,71.79,1319.41,No
0112-DFAIA,Female,0,No,Yes,43,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),19.14,816.0,No
0113-CFIIE,Female,0,No,Yes,69,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.03,4259.18,No
0114-IBEHH,Male,0,No,No,50,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),88.76,4477.98,No
0115-EHEEB,Female,1,No,No,30,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,34.26,1023.16,No
0116-HCIIC,Male,1,Yes,Yes,40,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,97.13,3906.59,No
0117-AAEAH,Female,0,Yes,No,57,No,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,80.58,4580.09,No
0118-CCJIE,Female,1,Yes,No,4,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,51.83,205.25,No
0119-EFJHG,Male,0,No,No,32,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),104.55,3360.17,No
0120-BEHGD,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,83.6,3498.59,No
0121-AHAAB,Male,0,Yes,Yes,18,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,48.95,908.6,No
0122-DBADF,Female,0,Yes,Yes,31,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),38.12,1166.51,No
0123-BFIIB,Male,0,No,No,2,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,34.01,38.57,Yes
0124-DEDJD,Male,0,Yes,Yes,0,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,118.64,0.0,No
0125-IIICC,Female,0,No,No,40,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),106.63,4305.57,Yes
0126-JDIGA,Female,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,88.19,4170.37,Yes
0127-FEJCJ,Male,0,Yes,No,38,Yes,No,No,No,Yes,Yes,No,No,No,Two year,No,Mailed check,66.0,2547.88,Yes
0128-IFHBH,Female,1,Yes,No,4,Yes,No,No,No,No,No,No,No,Yes,One year,Yes,Mailed check,104.51,461.06,No
0129-ADDHB,Female,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.73,848.49,Yes
0130-IADDH,Female,0,No,No,21,No,No,No,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),74.84,1540.91,No
0131-HIJCD,Male,0,Yes,No,63,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,97.55,6134.81,Yes
0132-DGDIE,Male,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,30.16,302.66,Yes
0133-GAFBD,Male,0,No,No,52,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,107.19,5529.33,No
0134-FGIGE,Male,0,Yes,No,54,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),31.04,1719.0,No
0135-AJCGG,Male,0,Yes,Yes,52,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Mailed check,110.24,5771.38,No
0136-GFJII,Male,0,Yes,Yes,20,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,40.42,777.44,No
0137-FIHCG,Male,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),57.61,1036.1,No
0138-BEGFF,Male,0,Yes,No,68,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,95.54,6544.5,Yes
0139-BHJCB,Male,0,Yes,No,71,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,29.59,2109.96,Yes
0140-AEADH,Female,0,Yes,No,65,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,117.42,7636.38,No
0141-IFCDI,Male,0,No,Yes,58,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),94.41,5468.23,No
0142-IBAGE,Female,0,Yes,No,48,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),44.57,2102.06,Yes
0143-IFHGA,Female,1,No,No,58,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,108.54,6256.76,No
0144-GCHJF,Female,1,Yes,No,22,Yes,Yes,No,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,22.23,526.61,No
0145-JEBCA,Male,1,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),19.11,12.43,Yes
0146-EDEHB,Male,0,Yes,No,55,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),51.02,2783.24,No
0147-GJHGG,Male,0,No,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,28.36,1580.14,No
0148-AJDHD,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),101.63,6188.67,No
0149-AGIFI,Female,0,No,No,17,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),57.22,985.4,No
0150-FBDIJ,Male,0,Yes,No,60,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.2,4876.06,No
0151-BFCEH,Male,0,Yes,Yes,36,Yes,No,No,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,101.94,3623.27,No
0152-BIFIC,Male,1,No,No,53,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),33.61,1778.26,No
0153-BAIGB,Male,0,No,No,64,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,117.32,7500.34,No
0154-BBADE,Male,1,Yes,No,13,Yes,No,No,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.46,1074.21,No
0155-JFBFC,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),24.67,113.6,Yes
0156-AHJEE,Male,0,Yes,No,61,Yes,No,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,73.11,4503.69,No
0157-GAGEG,Female,0,Yes,No,0,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,106.83,20.05,Yes
0158-FACIB,Male,0,No,No,62,Yes,Yes,No,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,109.59,6762.55,Yes
0159-GFFCF,Female,0,Yes,No,66,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),94.28,6237.63,Yes
0160-EGAAI,Male,0,No,Yes,19,Yes,Yes,No,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),117.17,2191.36,No
0161-DAICG,Male,0,Yes,No,42,Yes,No,No,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),68.9,2898.45,Yes
0162-GFDGJ,Female,0,No,Yes,41,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,59.11,2469.67,Yes
0163-FAHAJ,Female,1,No,Yes,68,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),40.53,2803.19,No
0164-IDGHG,Female,0,No,No,38,Yes,No,No,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),64.67,2495.78,No
0165-GFHJF,Male,1,No,No,61,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,105.45,6419.18,Yes
0166-IAJEI,Female,0,Yes,Yes,47,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),23.55,1127.35,No
0167-EGGDJ,Male,0,No,No,5,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),40.85,171.23,No
0168-CIEEE,Male,0,Yes,No,41,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,117.1,4844.12,Yes
0169-AHGBE,Female,0,No,Yes,57,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),98.62,5616.85,No
0170-BCJHF,Female,0,No,No,42,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),46.4,1955.67,Yes
0171-DFDAB,Male,0,No,No,9,No,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,103.51,920.08,No
0172-ECDID,Male,0,No,No,38,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,32.72,1234.82,No
0173-IGAGH,Female,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,86.01,1019.57,No
0174-JFGAJ,Female,0,No,No,38,Yes,No,No,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,38.33,1454.14,No
0175-GFIHA,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),72.17,757.64,No
0176-GHFBD,Male,0,No,No,15,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,82.46,1271.4,No
