customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,TechSupport,OnlineSecurity,PaymentMethod,MonthlyCharges,TotalCharges,Churn,PredictedChurnProb,PredictedChurn,RiskTier,AtRiskRevenue
0036-FFIEI,Female,1,Yes,No,50,One year,Fiber optic,No,No,Credit card (automatic),34.0,1743.42,No,0.3360146772573907,0,Medium,0.0
0037-IDJHJ,Male,0,No,Yes,14,Month-to-month,No,No,No,Electronic check,42.77,557.75,No,0.6142587281705164,1,Medium,42.77
0038-IICAF,Male,1,Yes,Yes,37,Month-to-month,Fiber optic,No,No,Credit card (automatic),70.95,2609.8,No,0.6021822971753155,1,Medium,70.95
0039-FJDIG,Male,0,Yes,No,70,Month-to-month,DSL,No,No,Bank transfer (automatic),117.63,8272.55,Yes,0.44131122385944865,0,Medium,0.0
0040-CBJGB,Male,0,No,Yes,71,Two year,No,No,No,Mailed check,67.11,4767.95,No,0.2269460878776598,0,Low,0.0
0041-ADBJJ,Male,0,Yes,Yes,20,Two year,DSL,No,No,Electronic check,57.28,1167.21,No,0.5020045664117168,1,Medium,57.28
0042-CFFIG,Female,0,No,No,15,Month-to-month,DSL,No,No,Bank transfer (automatic),70.89,1017.62,No,0.6135355282834501,1,Medium,70.89
0043-DDJDG,Female,0,Yes,Yes,66,Month-to-month,Fiber optic,No,No,Electronic check,41.76,2772.68,Yes,0.6421685883365711,1,Medium,41.76
0044-EIIFG,Female,0,Yes,No,64,Month-to-month,Fiber optic,No,No,Electronic check,113.05,7270.19,No,0.6450069810275277,1,Medium,113.05
0045-JBIJH,Female,0,No,Yes,12,Month-to-month,No,No,Yes,Credit card (automatic),113.39,1378.65,No,0.6797283592132157,1,High,113.39
0046-EHDGG,Female,1,No,Yes,63,Two year,No,No,No,Mailed check,86.97,5524.42,No,0.29126819360755807,0,Low,0.0
0047-EBIHD,Male,0,Yes,No,60,One year,Fiber optic,No,Yes,Bank transfer (automatic),33.78,2046.23,No,0.24150340245381036,0,Low,0.0
0048-FCDCI,Female,0,No,No,31,Month-to-month,Fiber optic,Yes,No,Electronic check,67.53,2075.02,Yes,0.6856649441377183,1,High,67.53
0049-JHDAG,Female,0,No,Yes,11,Two year,DSL,No,Yes,Electronic check,56.97,602.1,No,0.4372440802797191,0,Medium,0.0
0050-DDCGB,Male,0,No,No,40,Month-to-month,Fiber optic,No,No,Credit card (automatic),119.58,4796.14,Yes,0.680069865623326,1,High,119.58
0051-CGACJ,Female,0,Yes,Yes,65,Month-to-month,No,No,No,Bank transfer (automatic),23.31,1474.74,No,0.35723152542095477,0,Medium,0.0
0052-JBDFD,Male,0,Yes,Yes,7,Month-to-month,Fiber optic,No,No,Credit card (automatic),44.35,298.94,No,0.7052089287658975,1,High,44.35
0053-CBDBF,Female,1,No,No,58,Month-to-month,DSL,No,No,Credit card (automatic),68.15,3946.22,No,0.4718572007638752,0,Medium,0.0
0054-JEDCC,Male,0,No,Yes,24,Month-to-month,DSL,No,No,Bank transfer (automatic),102.16,2462.02,No,0.6312712353053324,1,Medium,102.16
0055-BGIAI,Female,0,No,No,4,One year,Fiber optic,No,Yes,Mailed check,92.36,342.73,Yes,0.5451113939589515,1,Medium,92.36
0056-HJAAF,Female,0,Yes,Yes,44,Month-to-month,Fiber optic,No,Yes,Credit card (automatic),115.53,5126.08,No,0.6544511618213069,1,Medium,115.53
0057-GIJFE,Male,0,Yes,No,1,Month-to-month,Fiber optic,No,No,Electronic check,39.48,83.69,No,0.7472538230398509,1,High,39.48
0058-BGADE,Male,0,No,No,41,Two year,Fiber optic,No,No,Mailed check,28.5,1178.25,No,0.40417517847480344,0,Medium,0.0
0059-FAIID,Male,0,Yes,No,37,Two year,Fiber optic,No,No,Electronic check,78.18,2909.87,No,0.5164468554652968,1,Medium,78.18
0060-AHHGJ,Male,0,Yes,Yes,2,One year,Fiber optic,No,Yes,Mailed check,62.12,104.96,No,0.5175979858000433,1,Medium,62.12
0061-CBGJG,Male,0,Yes,No,45,One year,No,Yes,Yes,Electronic check,51.84,2308.46,No,0.15791048401599067,0,Low,0.0
0062-EIGHF,Male,0,No,No,21,Two year,No,No,Yes,Credit card (automatic),97.08,2015.64,No,0.3176563392202151,0,Low,0.0
0063-AIGJH,Male,0,Yes,No,32,One year,DSL,Yes,No,Credit card (automatic),73.98,2357.99,No,0.2643577445975438,0,Low,0.0
0064-BGJCC,Male,0,No,No,31,Month-to-month,Fiber optic,No,Yes,Credit card (automatic),50.81,1618.02,No,0.6112122064813136,1,Medium,50.81
0065-DJIIE,Female,0,No,No,16,Month-to-month,Fiber optic,No,Yes,Bank transfer (automatic),72.85,1146.46,Yes,0.6336790368219762,1,Medium,72.85
0066-JJCFE,Female,0,No,No,55,Month-to-month,DSL,No,No,Credit card (automatic),113.12,6200.43,No,0.529471614061925,1,Medium,113.12
0067-FDGAH,Male,1,Yes,No,2,Month-to-month,No,Yes,No,Mailed check,44.72,72.03,No,0.5308402333916078,1,Medium,44.72
0068-EIJCF,Female,1,Yes,No,69,Month-to-month,DSL,No,Yes,Credit card (automatic),64.1,4396.36,No,0.3358716818475095,0,Medium,0.0
0069-CGAFD,Female,0,No,No,48,One year,No,No,No,Bank transfer (automatic),47.35,2295.59,No,0.27440193603481533,0,Low,0.0
0070-BFADA,Female,0,No,Yes,54,Month-to-month,DSL,No,No,Electronic check,76.7,4132.13,No,0.6210775436677977,1,Medium,76.7
0071-HCBHF,Female,0,No,No,30,Month-to-month,Fiber optic,No,No,Bank transfer (automatic),110.0,3296.8,No,0.709121412971064,1,High,110.0
0072-GHEAH,Male,0,No,No,20,Month-to-month,DSL,No,No,Mailed check,84.56,1712.73,Yes,0.6794964190577792,1,High,84.56
0073-EFBFF,Female,1,No,No,15,Month-to-month,Fiber optic,No,No,Mailed check,37.83,582.49,No,0.738803969442385,1,High,37.83
0074-IGHCD,Male,0,No,Yes,16,Two year,DSL,Yes,No,Bank transfer (automatic),31.18,489.33,No,0.2904633068596348,0,Low,0.0
0075-JHJJC,Female,1,Yes,No,0,One year,DSL,No,Yes,Electronic check,21.58,0.0,Yes,0.4322842599604961,0,Medium,0.0
0076-HCHBA,Female,1,Yes,No,71,Two year,No,No,No,Credit card (automatic),103.75,7405.51,Yes,0.22639519894117943,0,Low,0.0
0077-CHFDB,Female,0,No,No,64,Month-to-month,DSL,No,Yes,Mailed check,66.1,4191.84,No,0.4669483425379661,0,Medium,0.0
0078-CEEAG,Male,0,Yes,No,65,Month-to-month,Fiber optic,Yes,No,Credit card (automatic),61.12,4007.06,Yes,0.492441416274845,0,Medium,0.0
0079-CGIEE,Female,0,No,No,36,One year,Fiber optic,Yes,No,Electronic check,44.94,1642.72,Yes,0.4038795239374451,0,Medium,0.0
0080-AJGBJ,Male,1,Yes,No,23,Month-to-month,DSL,No,No,Mailed check,61.87,1456.43,No,0.598338814221689,1,Medium,61.87
0081-JBAHC,Female,0,No,Yes,61,Month-to-month,DSL,No,No,Electronic check,53.95,3330.36,No,0.5929797732419136,1,Medium,53.95
0082-CBGID,Male,1,Yes,Yes,20,Month-to-month,DSL,Yes,No,Electronic check,93.86,1831.83,No,0.6288256649585576,1,Medium,93.86
0083-DFDGF,Female,0,Yes,Yes,36,Two year,Fiber optic,No,No,Bank transfer (automatic),90.11,3237.74,No,0.4611738087453356,0,Medium,0.0
0084-IEDCJ,Male,0,No,Yes,34,Two year,No,No,No,Electronic check,63.49,2114.44,No,0.3518686761013922,0,Medium,0.0
0085-HHJCJ,Male,1,Yes,No,37,Month-to-month,No,No,No,Mailed check,84.68,3114.88,Yes,0.571094970654925,1,Medium,84.68
0086-FAIGD,Female,0,Yes,No,52,Month-to-month,No,No,No,Bank transfer (automatic),78.11,4025.8,No,0.40995378938320776,0,Medium,0.0
0087-BCGAD,Male,0,Yes,No,14,One year,Fiber optic,No,No,Mailed check,83.39,1175.31,No,0.48724205206369986,0,Medium,0.0
0088-GIDGD,Female,0,No,No,41,Month-to-month,No,Yes,No,Bank transfer (automatic),95.46,3925.45,No,0.4204806629944047,0,Medium,0.0
0089-BBGDF,Female,0,No,No,3,Month-to-month,DSL,No,No,Bank transfer (automatic),27.38,89.0,No,0.6022001633769581,1,Medium,27.38
0090-FBIJD,Female,0,No,No,38,Month-to-month,Fiber optic,No,No,Electronic check,102.85,3880.65,Yes,0.7122001511513403,1,High,102.85
0091-AHDHA,Female,0,Yes,No,22,Month-to-month,Fiber optic,No,Yes,Electronic check,46.83,1004.76,Yes,0.7251759730280036,1,High,46.83
0092-HFJCC,Female,1,No,Yes,14,Month-to-month,DSL,No,No,Credit card (automatic),56.93,777.81,No,0.6936592112912172,1,High,56.93
0093-GHIBI,Female,1,Yes,No,11,Month-to-month,No,No,No,Mailed check,46.21,473.88,No,0.5700836872411218,1,Medium,46.21
0094-HJFEB,Female,0,No,Yes,69,Two year,DSL,Yes,Yes,Mailed check,102.34,7054.71,No,0.22115489922291073,0,Low,0.0
0095-EDFAI,Female,0,No,No,53,Month-to-month,Fiber optic,Yes,Yes,Credit card (automatic),106.72,5676.6,No,0.5363338742120887,1,Medium,106.72
0096-ABFBD,Female,0,No,No,37,Month-to-month,Fiber optic,No,Yes,Electronic check,32.33,1226.57,Yes,0.6892076958213964,1,High,32.33
0097-IJFHB,Female,0,No,No,27,One year,DSL,No,No,Mailed check,71.25,1876.06,No,0.39105197707514355,0,Medium,0.0
0098-HFAHD,Female,1,No,Yes,18,Month-to-month,DSL,Yes,Yes,Mailed check,56.94,979.45,No,0.46675911701355866,0,Medium,0.0
0099-HEBGB,Male,0,No,No,68,Two year,Fiber optic,No,No,Electronic check,36.56,2498.48,Yes,0.4101659100759366,0,Medium,0.0
0100-FFFIJ,Male,0,Yes,No,63,Month-to-month,No,Yes,No,Bank transfer (automatic),74.78,4706.91,No,0.3611938696252657,0,Medium,0.0
0101-EGGCB,Female,0,No,Yes,3,Two year,Fiber optic,Yes,No,Electronic check,55.29,150.27,No,0.5271775929004539,1,Medium,55.29
0102-GEEBH,Female,0,Yes,Yes,9,Month-to-month,Fiber optic,No,No,Credit card (automatic),90.99,846.92,No,0.7294947596616089,1,High,90.99
0103-DFJBC,Female,0,Yes,No,11,Two year,DSL,No,No,Mailed check,103.3,1135.43,No,0.4619687993264541,0,Medium,0.0
0104-JFHFI,Female,0,Yes,Yes,68,One year,Fiber optic,Yes,No,Bank transfer (automatic),19.38,1326.67,No,0.21270986953030047,0,Low,0.0
0105-EHGIE,Female,0,Yes,No,6,Two year,DSL,Yes,Yes,Credit card (automatic),73.86,426.78,Yes,0.2712506334072018,0,Low,0.0
0106-CCHDJ,Female,0,Yes,No,43,One year,Fiber optic,No,No,Electronic check,77.25,3301.47,No,0.5074217537985624,1,Medium,77.25
0107-CBFIJ,Female,0,No,No,22,One year,DSL,Yes,No,Bank transfer (automatic),50.45,1154.77,No,0.30071333825685287,0,Low,0.0
0108-AHDDH,Female,0,Yes,Yes,1,One year,Fiber optic,No,No,Mailed check,99.88,119.76,No,0.5839317569152896,1,Medium,99.88
0109-IDFEG,Male,0,Yes,No,36,Two year,Fiber optic,No,Yes,Bank transfer (automatic),110.78,3971.12,Yes,0.3891469957711259,0,Medium,0.0
0110-BADID,Female,0,No,No,68,Two year,Fiber optic,No,No,Mailed check,95.95,6574.5,Yes,0.3258312191436373,0,Low,0.0
0111-JGBHD,Male,0,Yes,Yes,19,Month-to-month,Fiber optic,No,Yes,Electronic check,71.79,1319.41,No,0.6951563881205869,1,High,71.79
0112-DFAIA,Female,0,No,Yes,43,Month-to-month,Fiber optic,Yes,No,Bank transfer (automatic),19.14,816.0,No,0.5471021272849196,1,Medium,19.14
0113-CFIIE,Female,0,No,Yes,69,Month-to-month,DSL,Yes,No,Bank transfer (automatic),61.03,4259.18,No,0.3185253357429775,0,Low,0.0
0114-IBEHH,Male,0,No,No,50,Month-to-month,Fiber optic,No,Yes,Bank transfer (automatic),88.76,4477.98,No,0.559166533673245,1,Medium,88.76
0115-EHEEB,Female,1,No,No,30,Two year,Fiber optic,No,No,Mailed check,34.26,1023.16,No,0.4785957972887552,0,Medium,0.0
0116-HCIIC,Male,1,Yes,Yes,40,Month-to-month,Fiber optic,No,No,Electronic check,97.13,3906.59,No,0.6979457493476313,1,High,97.13
0117-AAEAH,Female,0,Yes,No,57,Month-to-month,DSL,Yes,Yes,Electronic check,80.58,4580.09,No,0.4554682986294806,0,Medium,0.0
0118-CCJIE,Female,1,Yes,No,4,One year,DSL,No,Yes,Mailed check,51.83,205.25,No,0.3134698102171346,0,Low,0.0
0119-EFJHG,Male,0,No,No,32,Two year,No,Yes,No,Bank transfer (automatic),104.55,3360.17,No,0.2395052016294141,0,Low,0.0
0120-BEHGD,Female,0,Yes,No,42,One year,Fiber optic,No,No,Mailed check,83.6,3498.59,No,0.4410441795214957,0,Medium,0.0
0121-AHAAB,Male,0,Yes,Yes,18,Month-to-month,DSL,No,No,Mailed check,48.95,908.6,No,0.5849068929539314,1,Medium,48.95
0122-DBADF,Female,0,Yes,Yes,31,Two year,DSL,No,Yes,Credit card (automatic),38.12,1166.51,No,0.3106236373359695,0,Low,0.0
0123-BFIIB,Male,0,No,No,2,Month-to-month,DSL,No,No,Electronic check,34.01,38.57,Yes,0.7455809007556213,1,High,34.01
0124-DEDJD,Male,0,Yes,Yes,0,Two year,DSL,No,No,Mailed check,118.64,0.0,No,0.45467576907056184,0,Medium,0.0
0125-IIICC,Female,0,No,No,40,Month-to-month,Fiber optic,No,No,Bank transfer (automatic),106.63,4305.57,Yes,0.6617113008726041,1,High,106.63
0126-JDIGA,Female,0,Yes,No,47,Month-to-month,Fiber optic,No,Yes,Mailed check,88.19,4170.37,Yes,0.5855553626839763,1,Medium,88.19
0127-FEJCJ,Male,0,Yes,No,38,Two year,No,No,No,Mailed check,66.0,2547.88,Yes,0.2825731224144311,0,Low,0.0
0128-IFHBH,Female,1,Yes,No,4,One year,No,No,No,Mailed check,104.51,461.06,No,0.46137253134666595,0,Medium,0.0
0129-ADDHB,Female,0,No,No,10,Month-to-month,Fiber optic,No,No,Bank transfer (automatic),89.73,848.49,Yes,0.7806789024511688,1,High,89.73
0130-IADDH,Female,0,No,No,21,One year,No,No,Yes,Credit card (automatic),74.84,1540.91,No,0.36003988265964393,0,Medium,0.0
0131-HIJCD,Male,0,Yes,No,63,Month-to-month,Fiber optic,No,No,Mailed check,97.55,6134.81,Yes,0.5412669662868755,1,Medium,97.55
0132-DGDIE,Male,0,Yes,No,11,Month-to-month,Fiber optic,No,No,Electronic check,30.16,302.66,Yes,0.7548816449420066,1,High,30.16
0133-GAFBD,Male,0,No,No,52,One year,DSL,No,No,Mailed check,107.19,5529.33,No,0.3010366912271685,0,Low,0.0
0134-FGIGE,Male,0,Yes,No,54,Two year,DSL,No,No,Credit card (automatic),31.04,1719.0,No,0.25092432141220006,0,Low,0.0
0135-AJCGG,Male,0,Yes,Yes,52,Two year,DSL,No,No,Mailed check,110.24,5771.38,No,0.3123786575324132,0,Low,0.0
0136-GFJII,Male,0,Yes,Yes,20,Month-to-month,DSL,No,Yes,Electronic check,40.42,777.44,No,0.575152232289932,1,Medium,40.42
0137-FIHCG,Male,0,Yes,No,18,One year,Fiber optic,No,No,Credit card (automatic),57.61,1036.1,No,0.4075328278942463,0,Medium,0.0
0138-BEGFF,Male,0,Yes,No,68,Month-to-month,DSL,Yes,No,Electronic check,95.54,6544.5,Yes,0.4431144028826279,0,Medium,0.0
0139-BHJCB,Male,0,Yes,No,71,Month-to-month,DSL,No,Yes,Electronic check,29.59,2109.96,Yes,0.42039552343665854,0,Medium,0.0
0140-AEADH,Female,0,Yes,No,65,Month-to-month,No,No,No,Electronic check,117.42,7636.38,No,0.5072497759401802,1,Medium,117.42
0141-IFCDI,Male,0,No,Yes,58,Two year,Fiber optic,No,Yes,Credit card (automatic),94.41,5468.23,No,0.3652087142874025,0,Medium,0.0
0142-IBAGE,Female,0,Yes,No,48,Month-to-month,Fiber optic,No,No,Credit card (automatic),44.57,2102.06,Yes,0.6409272809166106,1,Medium,44.57
0143-IFHGA,Female,1,No,No,58,Month-to-month,DSL,Yes,Yes,Electronic check,108.54,6256.76,No,0.46236969396467037,0,Medium,0.0
0144-GCHJF,Female,1,Yes,No,22,One year,No,No,No,Electronic check,22.23,526.61,No,0.3666503754794265,0,Medium,0.0
0145-JEBCA,Male,1,No,No,2,Month-to-month,DSL,No,No,Bank transfer (automatic),19.11,12.43,Yes,0.5842021842637384,1,Medium,19.11
0146-EDEHB,Male,0,Yes,No,55,Two year,Fiber optic,Yes,Yes,Credit card (automatic),51.02,2783.24,No,0.2776087335990256,0,Low,0.0
0147-GJHGG,Male,0,No,No,57,Month-to-month,Fiber optic,No,No,Mailed check,28.36,1580.14,No,0.5671801272598054,1,Medium,28.36
0148-AJDHD,Male,0,Yes,No,61,One year,Fiber optic,No,No,Credit card (automatic),101.63,6188.67,No,0.3101252453435889,0,Low,0.0
0149-AGIFI,Female,0,No,No,17,Month-to-month,No,No,No,Bank transfer (automatic),57.22,985.4,No,0.5701842104245247,1,Medium,57.22
0150-FBDIJ,Male,0,Yes,No,60,Month-to-month,DSL,No,Yes,Bank transfer (automatic),81.2,4876.06,No,0.4202032134624181,0,Medium,0.0
0151-BFCEH,Male,0,Yes,Yes,36,Two year,No,Yes,No,Electronic check,101.94,3623.27,No,0.32480884172889,0,Low,0.0
0152-BIFIC,Male,1,No,No,53,One year,Fiber optic,No,No,Credit card (automatic),33.61,1778.26,No,0.2874952143556395,0,Low,0.0
0153-BAIGB,Male,0,No,No,64,Month-to-month,Fiber optic,No,No,Mailed check,117.32,7500.34,No,0.5691980225760347,1,Medium,117.32
0154-BBADE,Male,1,Yes,No,13,Month-to-month,No,No,Yes,Credit card (automatic),84.46,1074.21,No,0.5824361585144361,1,Medium,84.46
0155-JFBFC,Female,0,No,No,4,Month-to-month,Fiber optic,Yes,No,Bank transfer (automatic),24.67,113.6,Yes,0.6695327226422445,1,High,24.67
0156-AHJEE,Male,0,Yes,No,61,Month-to-month,No,No,No,Mailed check,73.11,4503.69,No,0.4265523070832197,0,Medium,0.0
0157-GAGEG,Female,0,Yes,No,0,Month-to-month,DSL,No,Yes,Mailed check,106.83,20.05,Yes,0.7014876385814127,1,High,106.83
0158-FACIB,Male,0,No,No,62,Month-to-month,No,No,Yes,Electronic check,109.59,6762.55,Yes,0.4835298036089373,0,Medium,0.0
0159-GFFCF,Female,0,Yes,No,66,Month-to-month,Fiber optic,No,Yes,Credit card (automatic),94.28,6237.63,Yes,0.47969533748903065,0,Medium,0.0
0160-EGAAI,Male,0,No,Yes,19,Month-to-month,No,No,No,Credit card (automatic),117.17,2191.36,No,0.6627297208511683,1,High,117.17
0161-DAICG,Male,0,Yes,No,42,Month-to-month,No,No,No,Credit card (automatic),68.9,2898.45,Yes,0.4807444029476552,0,Medium,0.0
0162-GFDGJ,Female,0,No,Yes,41,Month-to-month,DSL,No,No,Mailed check,59.11,2469.67,Yes,0.5546867944765306,1,Medium,59.11
0163-FAHAJ,Female,1,No,Yes,68,One year,Fiber optic,Yes,Yes,Bank transfer (automatic),40.53,2803.19,No,0.21030090714167687,0,Low,0.0
0164-IDGHG,Female,0,No,No,38,One year,No,No,No,Bank transfer (automatic),64.67,2495.78,No,0.3138816184737099,0,Low,0.0
0165-GFHJF,Male,1,No,No,61,Month-to-month,Fiber optic,Yes,No,Electronic check,105.45,6419.18,Yes,0.6046679338884847,1,Medium,105.45
0166-IAJEI,Female,0,Yes,Yes,47,Month-to-month,Fiber optic,No,No,Bank transfer (automatic),23.55,1127.35,No,0.5934845596288258,1,Medium,23.55
0167-EGGDJ,Male,0,No,No,5,Month-to-month,DSL,No,No,Credit card (automatic),40.85,171.23,No,0.6065154278248998,1,Medium,40.85
0168-CIEEE,Male,0,Yes,No,41,One year,Fiber optic,Yes,No,Electronic check,117.1,4844.12,Yes,0.37807221405993546,0,Medium,0.0
0169-AHGBE,Female,0,No,Yes,57,One year,Fiber optic,No,No,Bank transfer (automatic),98.62,5616.85,No,0.3400149593951222,0,Medium,0.0
0170-BCJHF,Female,0,No,No,42,Month-to-month,Fiber optic,No,No,Bank transfer (automatic),46.4,1955.67,Yes,0.6177878567946914,1,Medium,46.4
0171-DFDAB,Male,0,No,No,9,Two year,Fiber optic,No,Yes,Electronic check,103.51,920.08,No,0.6510376830228285,1,Medium,103.51
0172-ECDID,Male,0,No,No,38,Month-to-month,DSL,No,Yes,Mailed check,32.72,1234.82,No,0.47185151811278464,0,Medium,0.0
0173-IGAGH,Female,0,Yes,No,12,One year,Fiber optic,Yes,No,Electronic check,86.01,1019.57,No,0.47071606899441365,0,Medium,0.0
0174-JFGAJ,Female,0,No,No,38,Month-to-month,No,No,No,Mailed check,38.33,1454.14,No,0.5713766568191201,1,Medium,38.33
0175-GFIHA,Female,0,Yes,No,10,Month-to-month,Fiber optic,Yes,No,Credit card (automatic),72.17,757.64,No,0.624463696598469,1,Medium,72.17
0176-GHFBD,Male,0,No,No,15,Month-to-month,No,No,Yes,Mailed check,82.46,1271.4,No,0.5978853256101323,1,Medium,82.46
0177-FCHFA,Male,0,Yes,No,32,One year,Fiber optic,No,No,Electronic check,92.83,2954.29,No,0.5078964523993309,1,Medium,92.83
0178-BEIAC,Male,0,No,No,59,Month-to-month,No,No,No,Credit card (automatic),110.49,6480.31,No,0.5331000134994821,1,Medium,110.49
0179-BHCDB,Male,0,Yes,No,58,One year,No,No,No,Electronic check,98.93,5732.91,No,0.2609269137194572,0,Low,0.0
0180-FGIAB,Male,0,No,Yes,50,One year,No,No,Yes,Electronic check,48.42,2371.54,No,0.22545573322409457,0,Low,0.0
0181-BECFJ,Male,0,Yes,Yes,14,Month-to-month,No,Yes,Yes,Mailed check,103.99,1480.67,No,0.4717668486951658,0,Medium,0.0
0182-GDFDI,Female,0,No,No,42,One year,DSL,No,Yes,Mailed check,24.4,975.07,No,0.30739350446954933,0,Low,0.0
0183-GGADF,Male,0,Yes,No,26,Month-to-month,No,Yes,No,Mailed check,93.12,2391.75,No,0.5097236884626741,1,Medium,93.12
